,0,1
0,31,전신 루틴 스트레칭
1,11,하지 루틴 스트레칭2
2,10,하지 루틴 스트레칭1
3,10,정적 스트레칭  루틴프로그램
4,9,계단 올라갔다 내려오기
5,8,상지 루틴 스트레칭
6,7,자가근막이완술 루틴 스트레칭
7,6,엉덩이 스트레칭
8,6,실내 자전거타기
9,6,허리 스트레칭
10,5,걷기
11,5,넙다리 안쪽 스트레칭
12,4,아래 팔 스트레칭
13,3,작은 공을 이용한 동적 루틴 스트레칭 
14,3,넙다리 뒤쪽 스트레칭
15,3,등/어깨 뒤쪽 스트레칭
16,2,목 스트레칭
17,2,수영
18,2,트레드밀에서 걷기
19,2,엉덩이 스트레칭2
20,2,깍지 끼고 상체 숙이기
21,1,누워서 전신 뻗기
22,1,의자이용 유연성운동 루틴 프로그램
23,1,가슴/어깨 앞쪽 스트레칭
24,1,대퇴사두근 스트레칭
25,1,다리 벌려 앞으로 상체 숙이기
26,1,앞굽이 앉았다 일어서기
27,1,연속 사이드 스쿼드
28,1,달리기
29,1,골반 스트레칭2
30,1,몸통 스트레칭
31,1,조깅
32,1,양발 교차하여 서서 몸통 숙이기
33,1,물속에서 걷기
34,1,옆구리 스트레칭
35,1,넙다리 앞쪽 스트레칭
36,1,다리 모아 상체 숙이기
37,1,배스트레칭
38,1,상체 앞으로 숙이기
39,1,폼롤러 이용 유연성운동 루틴 프로그램
40,1,앉았다 일어서기
